date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:00	8754/8754	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:25:23%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/shop6/banner2.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/shop6/banner2.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:01	13093/13093	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:25:23%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/shop6/banner3.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/shop6/banner3.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:02	5912/5912	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:26:07%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product11.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product11.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:02	6431/6431	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:26:07%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product12.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product12.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:03	7275/7275	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:26:07%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product13.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product13.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:04	8864/8864	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:26:07%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product10.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product10.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:04	7172/7172	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:26:08%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product8.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product8.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:05	9364/9364	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:26:08%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product9.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/products/shop9/product9.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:06	43046/43046	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:24%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-blog-post.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7-blog-post.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:08	7363/7363	---M--	200	added ('OK')	application/javascript	date:Tue,%2014%20Feb%202017%2018:15:35%20GMT	http://preview.oklerthemes.com/porto/5.4.0/js/demos/demo-shop-6.js	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/js/demos/demo-shop-6.js	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:15	133631/133631	---M--	200	added ('OK')	text/css	date:Tue,%2014%20Feb%202017%2018:16:16%20GMT	http://preview.oklerthemes.com/porto/5.4.0/css/skins/skin-shop-7.css	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/css/skins/skin-shop-7.css	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-7.html)
12:08:15	53453/53453	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:23:49%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/banner1.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/banner1.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:15	228948/228948	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202017%2018:26:42%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/slides/shop6/item1.png	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/slides/shop6/item1.png	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:08:15	43973/43973	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:23:51%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/banner2.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/banner2.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
